Firewall,Scan_Type,Filtered_Ports,Closed_Ports,Open_Ports,Latency_ms
Stateless,Normal_SYN,6,0,0,1644
Stateless,Spoof_Src80,0,6,0,370
Stateless,Spoof_Src443,0,6,0,474
Stateless,Spoof_Src53,0,6,0,434
Stateless,FIN_Scan,6,0,6,1619
Stateless,NULL_Scan,6,0,6,1570
Stateless,XMAS_Scan,6,0,6,1605
Stateless,Fragment_8byte,6,0,0,1546
Stateless,Fragment_16byte,6,0,0,1762
Stateless,Decoy_Scan,6,0,0,1767
Stateless,ACK_Scan,6,0,0,1645
Stateful,Normal_SYN,6,0,0,1776
Stateful,Spoof_Src80,6,0,0,1628
Stateful,Spoof_Src443,6,0,0,1709
Stateful,Spoof_Src53,6,0,0,1831
Stateful,FIN_Scan,6,0,6,1759
Stateful,NULL_Scan,6,0,6,1662
Stateful,XMAS_Scan,6,0,6,1692
Stateful,Fragment_8byte,6,0,0,1677
Stateful,Fragment_16byte,6,0,0,1635
Stateful,Decoy_Scan,6,0,0,1606
Stateful,ACK_Scan,6,0,0,1825
Stateful,SYN_Flood_Recovery,0,0,0,1000
